region,statistikkvariabel,år,value
Hele landet,Befolkning 1. januar,1951,3280296
Hele landet,Befolkning 1. januar,1952,3310821
Hele landet,Befolkning 1. januar,1953,3342754
Hele landet,Befolkning 1. januar,1954,3375870
Hele landet,Befolkning 1. januar,1955,3408161
Hele landet,Befolkning 1. januar,1956,3445673
Hele landet,Befolkning 1. januar,1957,3477786
Hele landet,Befolkning 1. januar,1958,3510199
Hele landet,Befolkning 1. januar,1959,3540531
Hele landet,Befolkning 1. januar,1960,3570554
Hele landet,Befolkning 1. januar,1961,3594771
Hele landet,Befolkning 1. januar,1962,3624829
Hele landet,Befolkning 1. januar,1963,3653009
Hele landet,Befolkning 1. januar,1964,3680068
Hele landet,Befolkning 1. januar,1965,3708609
Hele landet,Befolkning 1. januar,1966,3737696
Hele landet,Befolkning 1. januar,1967,3769559
Hele landet,Befolkning 1. januar,1968,3802479
Hele landet,Befolkning 1. januar,1969,3835486
Hele landet,Befolkning 1. januar,1970,3866468
Hele landet,Befolkning 1. januar,1971,3888305
Hele landet,Befolkning 1. januar,1972,3917773
Hele landet,Befolkning 1. januar,1973,3948235
Hele landet,Befolkning 1. januar,1974,3972990
Hele landet,Befolkning 1. januar,1975,3997525
Hele landet,Befolkning 1. januar,1976,4017101
Hele landet,Befolkning 1. januar,1977,4035202
Hele landet,Befolkning 1. januar,1978,4051208
Hele landet,Befolkning 1. januar,1979,4066134
Hele landet,Befolkning 1. januar,1980,4078900
Hele landet,Befolkning 1. januar,1981,4092340
Hele landet,Befolkning 1. januar,1982,4107063
Hele landet,Befolkning 1. januar,1983,4122511
Hele landet,Befolkning 1. januar,1984,4134353
Hele landet,Befolkning 1. januar,1985,4145845
Hele landet,Befolkning 1. januar,1986,4159187
Hele landet,Befolkning 1. januar,1987,4175521
Hele landet,Befolkning 1. januar,1988,4198289
Hele landet,Befolkning 1. januar,1989,4220686
Hele landet,Befolkning 1. januar,1990,4233116
Hele landet,Befolkning 1. januar,1991,4249830
Hele landet,Befolkning 1. januar,1992,4273634
Hele landet,Befolkning 1. januar,1993,4299167
Hele landet,Befolkning 1. januar,1994,4324815
Hele landet,Befolkning 1. januar,1995,4348410
Hele landet,Befolkning 1. januar,1996,4369957
Hele landet,Befolkning 1. januar,1997,4392714
Hele landet,Befolkning 1. januar,1998,4417599
Hele landet,Befolkning 1. januar,1999,4445329
Hele landet,Befolkning 1. januar,2000,4478497
Hele landet,Befolkning 1. januar,2001,4503436
Hele landet,Befolkning 1. januar,2002,4524066
Hele landet,Befolkning 1. januar,2003,4552252
Hele landet,Befolkning 1. januar,2004,4577457
Hele landet,Befolkning 1. januar,2005,4606363
Hele landet,Befolkning 1. januar,2006,4640219
Hele landet,Befolkning 1. januar,2007,4681134
Hele landet,Befolkning 1. januar,2008,4737171
Hele landet,Befolkning 1. januar,2009,4799252
Hele landet,Befolkning 1. januar,2010,4858199
Hele landet,Befolkning 1. januar,2011,4920305
Hele landet,Befolkning 1. januar,2012,4985870
Hele landet,Befolkning 1. januar,2013,5051275
Hele landet,Befolkning 1. januar,2014,5109056
Hele landet,Befolkning 1. januar,2015,5165802
Hele landet,Befolkning 1. januar,2016,5213985
Hele landet,Befolkning 1. januar,2017,5258317
Hele landet,Befolkning 1. januar,2018,5295619
Hele landet,Befolkning 1. januar,2019,5328212
Hele landet,Befolkning 1. januar,2020,5367580
Hele landet,Befolkning 1. januar,2021,5391369
